subscriber_id,signup_date,plan_tier,region,churn
sub_00187,2025-02-17,Standard,North America,0
sub_00188,2024-09-17,Standard,Europe,0
sub_00189,2024-12-28,Standard,APAC,1
sub_00190,2024-11-13,Basic,APAC,0
sub_00191,2024-02-13,Premium,Europe,0
sub_00192,2024-03-22,Premium,North America,1
sub_00193,2024-04-08,Basic,APAC,1
sub_00194,2024-09-30,Standard,APAC,1
sub_00195,2023-07-30,Standard,North America,1
sub_00196,2025-04-15,Standard,Europe,0
sub_00197,2024-10-14,Basic,North America,1
sub_00198,2025-03-24,Premium,Europe,0
sub_00199,2024-10-17,Premium,Europe,1
sub_00200,2023-07-29,Standard,APAC,1
sub_00201,2024-09-27,Premium,Latin America,1
sub_00202,2023-09-05,Premium,Europe,1
sub_00203,2024-06-27,Basic,North America,0
sub_00204,2024-02-02,Standard,North America,1
sub_00205,2024-07-24,Standard,North America,0
sub_00206,2024-12-08,Premium,North America,0
sub_00207,2023-12-17,Basic,North America,0
sub_00208,2023-07-24,Standard,Europe,0
sub_00209,2024-12-10,Premium,North America,0
sub_00210,2023-12-07,Basic,North America,0
sub_00211,2024-12-12,Premium,APAC,0
sub_00212,2024-01-20,Basic,North America,1
sub_00213,2023-11-30,Premium,Europe,1
sub_00214,2024-07-30,Premium,Latin America,1
sub_00215,2024-01-06,Basic,Europe,1
sub_00216,2024-12-04,Premium,North America,1
sub_00217,2025-04-21,Basic,North America,1
sub_00218,2025-04-08,Standard,Europe,1
sub_00219,2024-07-31,Standard,Europe,0
sub_00220,2023-09-09,Premium,North America,1
sub_00221,2025-03-17,Basic,Europe,1
sub_00222,2024-07-25,Basic,Europe,1
sub_00223,2024-01-29,Standard,North America,0
sub_00224,2025-01-23,Standard,Europe,0
sub_00225,2024-01-17,Standard,North America,1
sub_00226,2024-11-09,Basic,North America,0
sub_00227,2023-11-15,Basic,APAC,1
sub_00228,2024-04-28,Premium,North America,1
sub_00229,2024-05-21,Basic,Europe,0
sub_00230,2025-02-10,Basic,North America,1
sub_00231,2024-07-20,Premium,North America,0
sub_00232,2023-10-12,Basic,Latin America,0
sub_00233,2025-06-03,Standard,North America,0
sub_00234,2023-12-21,Basic,North America,0
sub_00235,2024-06-29,Premium,Latin America,0
sub_00236,2024-01-18,Standard,APAC,1
sub_00237,2024-02-28,Premium,Europe,0
sub_00238,2024-08-11,Basic,North America,1
sub_00239,2024-11-07,Standard,North America,1
sub_00240,2024-03-24,Premium,Europe,1
sub_00241,2025-03-08,Basic,North America,0
sub_00242,2024-04-24,Basic,North America,0
sub_00243,2025-04-10,Basic,APAC,1
sub_00244,2024-03-08,Premium,North America,0
sub_00245,2024-03-23,Standard,North America,1
sub_00246,2025-04-17,Standard,North America,1
sub_00247,2023-12-22,Standard,Europe,1
sub_00248,2024-08-23,Standard,Europe,0
sub_00249,2023-12-01,Standard,APAC,1
sub_00250,2025-05-18,Standard,North America,1
sub_00251,2025-02-08,Standard,North America,1
sub_00252,2024-06-28,Basic,Europe,0
sub_00253,2025-02-02,Premium,North America,0
sub_00254,2024-10-23,Premium,Europe,1
sub_00255,2024-03-01,Basic,Latin America,0
sub_00256,2025-03-05,Standard,Europe,0
sub_00257,2024-02-17,Basic,North America,1
sub_00258,2025-04-03,Premium,Latin America,0
sub_00259,2025-02-11,Premium,North America,1
sub_00260,2024-04-22,Premium,Latin America,0
sub_00261,2023-11-26,Basic,Europe,1
sub_00262,2025-02-14,Basic,Europe,0
sub_00263,2024-11-14,Basic,Latin America,0
sub_00264,2023-08-24,Basic,Europe,1
sub_00265,2023-07-09,Basic,Europe,1
sub_00266,2024-04-26,Basic,North America,0
sub_00267,2024-07-31,Premium,Europe,0
sub_00268,2024-10-11,Basic,Europe,1
sub_00269,2024-04-04,Basic,North America,0
sub_00270,2024-04-19,Premium,APAC,0
sub_00271,2024-11-17,Standard,Europe,0
sub_00272,2025-05-31,Premium,North America,1
sub_00273,2025-02-28,Standard,North America,1
sub_00274,2023-07-31,Premium,Europe,1
sub_00275,2024-08-21,Standard,North America,1
sub_00276,2024-07-06,Standard,North America,0
sub_00277,2024-07-17,Standard,Europe,0
sub_00278,2023-12-04,Standard,North America,0
sub_00279,2025-05-01,Basic,North America,0
sub_00280,2025-04-18,Standard,Europe,0
sub_00281,2024-12-01,Basic,North America,0
sub_00282,2024-07-03,Premium,Latin America,1
sub_00283,2024-02-22,Basic,Latin America,1
sub_00284,2024-06-30,Basic,Europe,0
sub_00285,2024-08-05,Basic,Latin America,0
sub_00286,2023-08-15,Premium,APAC,0
sub_00287,2025-02-21,Basic,North America,0
sub_00288,2024-05-03,Standard,APAC,1
sub_00289,2024-05-24,Premium,North America,0
sub_00290,2024-07-12,Basic,Europe,0
sub_00291,2023-11-16,Premium,Europe,1
sub_00292,2024-12-07,Basic,North America,1
sub_00293,2023-08-04,Basic,North America,0
sub_00294,2024-10-22,Standard,Latin America,0
sub_00295,2024-05-22,Premium,North America,0
sub_00296,2024-06-09,Basic,North America,1
sub_00297,2023-10-17,Standard,North America,0
sub_00298,2024-08-06,Basic,Europe,1
sub_00299,2024-11-25,Standard,APAC,1
sub_00300,2025-06-01,Standard,APAC,0
sub_00301,2024-09-29,Standard,Europe,0
sub_00302,2023-11-03,Standard,North America,0
sub_00303,2025-06-09,Basic,North America,0
sub_00304,2023-09-14,Standard,Europe,1
sub_00305,2024-05-24,Standard,APAC,1
sub_00306,2025-03-08,Standard,APAC,0
sub_00307,2024-11-12,Basic,North America,0
sub_00308,2024-05-16,Standard,Europe,1
sub_00309,2024-11-02,Standard,Europe,0
sub_00310,2025-03-31,Basic,Europe,0
sub_00311,2024-02-26,Basic,Europe,0
sub_00312,2024-02-21,Standard,Europe,1
sub_00313,2025-03-23,Standard,Europe,0
sub_00314,2024-11-27,Basic,Latin America,1
sub_00315,2024-12-24,Premium,Europe,1
sub_00316,2024-03-01,Standard,North America,1
sub_00317,2024-01-11,Premium,North America,0
sub_00318,2024-01-13,Standard,Europe,0
sub_00319,2023-08-14,Standard,Europe,0
sub_00320,2023-12-14,Standard,Europe,0
sub_00321,2024-10-30,Premium,APAC,0
sub_00322,2025-03-31,Standard,North America,1
sub_00323,2024-04-02,Standard,Europe,1
sub_00324,2023-08-31,Standard,APAC,0
sub_00325,2023-07-19,Standard,North America,0
sub_00326,2025-01-03,Basic,North America,0
sub_00327,2024-12-29,Standard,North America,1
sub_00328,2025-05-21,Standard,North America,0
sub_00329,2025-03-07,Premium,APAC,0
sub_00330,2024-05-15,Standard,Latin America,0
sub_00331,2024-05-21,Standard,Europe,1
sub_00332,2024-09-24,Premium,North America,0
sub_00333,2024-11-07,Standard,Europe,1
sub_00334,2023-10-31,Basic,APAC,1
sub_00335,2024-07-22,Basic,North America,1
sub_00336,2023-11-16,Basic,APAC,0
sub_00337,2023-07-28,Basic,North America,0
sub_00338,2024-11-01,Standard,North America,1
sub_00339,2025-01-22,Premium,North America,0
sub_00340,2023-08-04,Standard,North America,0
sub_00341,2024-03-19,Basic,APAC,1
sub_00342,2024-11-20,Standard,Europe,1
sub_00343,2024-03-28,Basic,North America,1
sub_00344,2024-06-13,Premium,Europe,1
sub_00345,2023-09-07,Basic,North America,0
sub_00346,2024-12-15,Standard,North America,0
sub_00347,2023-07-08,Basic,North America,1
sub_00348,2023-08-16,Standard,Europe,1
sub_00349,2025-02-07,Standard,North America,0
sub_00350,2025-02-19,Premium,APAC,1
sub_00351,2024-05-31,Basic,North America,0
sub_00352,2025-05-15,Premium,APAC,1
sub_00353,2024-11-15,Standard,APAC,0
sub_00354,2024-08-09,Premium,North America,0
sub_00355,2023-07-23,Premium,North America,0
sub_00356,2023-07-07,Premium,Latin America,0
sub_00357,2025-02-28,Basic,Europe,1
sub_00358,2023-09-17,Basic,Europe,1
sub_00359,2025-04-12,Basic,North America,1
sub_00360,2023-12-28,Basic,North America,1
sub_00361,2023-10-20,Standard,Europe,0
sub_00362,2023-09-18,Premium,APAC,1
sub_00363,2025-01-08,Premium,North America,1
sub_00364,2023-09-16,Standard,APAC,1
sub_00365,2025-03-25,Standard,Europe,0
sub_00366,2024-06-10,Premium,North America,1
sub_00367,2024-07-15,Premium,North America,0
sub_00368,2024-11-02,Basic,North America,0
sub_00369,2025-06-01,Standard,Europe,0
sub_00370,2023-12-12,Premium,Europe,1
sub_00371,2024-10-19,Basic,Europe,0
sub_00372,2024-02-29,Standard,North America,1
sub_00373,2024-08-27,Premium,Europe,0
sub_00374,2024-09-22,Premium,Europe,1
sub_00375,2023-09-21,Premium,Europe,0
sub_00376,2025-04-10,Premium,Europe,0
sub_00377,2024-01-06,Basic,North America,1
sub_00378,2023-12-30,Basic,Europe,0
sub_00379,2024-09-17,Standard,North America,0
sub_00380,2024-12-11,Standard,North America,0
sub_00381,2025-06-13,Standard,North America,0
sub_00382,2023-08-16,Standard,Europe,0
sub_00383,2023-08-08,Standard,Europe,0
sub_00384,2024-12-26,Standard,North America,1
sub_00385,2025-05-25,Basic,APAC,1
sub_00386,2025-03-21,Basic,APAC,0
sub_00387,2025-04-29,Basic,North America,1
sub_00388,2023-10-30,Basic,Europe,1
sub_00389,2023-09-17,Premium,North America,0
sub_00390,2025-02-27,Standard,Latin America,1
sub_00391,2023-12-30,Basic,North America,1
sub_00392,2025-02-08,Premium,North America,0
sub_00393,2024-09-27,Standard,Europe,1
sub_00394,2024-04-13,Basic,North America,0
sub_00395,2024-01-18,Basic,Europe,1
sub_00396,2023-09-29,Basic,Europe,1
sub_00397,2025-05-15,Standard,North America,1
sub_00398,2025-01-27,Basic,Europe,1
sub_00399,2024-11-28,Basic,APAC,0
sub_00400,2024-11-06,Basic,APAC,1
sub_00401,2023-07-03,Standard,Europe,1
sub_00402,2023-12-08,Basic,North America,1
sub_00403,2024-10-30,Premium,North America,0
sub_00404,2023-07-22,Basic,APAC,1
sub_00405,2024-06-24,Standard,APAC,0
sub_00406,2024-06-23,Standard,Europe,1
sub_00407,2024-08-10,Standard,APAC,0
sub_00408,2025-03-05,Basic,North America,1
sub_00409,2023-08-17,Premium,Europe,1
sub_00410,2025-06-07,Premium,North America,0
sub_00411,2025-02-12,Basic,North America,1
sub_00412,2025-01-03,Basic,Europe,1
sub_00413,2024-11-29,Premium,North America,1
sub_00414,2025-03-14,Standard,Latin America,0
sub_00415,2025-06-04,Basic,North America,0
sub_00416,2024-02-17,Basic,APAC,0
sub_00417,2023-07-23,Standard,APAC,0
sub_00418,2025-03-21,Standard,Europe,0
sub_00419,2024-11-16,Standard,Latin America,1
sub_00420,2024-06-19,Premium,North America,1
sub_00421,2023-08-22,Standard,North America,1
sub_00422,2024-02-05,Basic,North America,1
sub_00423,2023-12-16,Standard,North America,0
sub_00424,2024-04-26,Basic,APAC,1
sub_00425,2024-08-22,Basic,Europe,0
sub_00426,2025-01-24,Basic,North America,0
sub_00427,2023-10-07,Basic,North America,0
sub_00428,2023-11-19,Standard,Europe,1
sub_00429,2025-05-30,Basic,APAC,0
sub_00430,2024-01-21,Standard,North America,1
sub_00431,2025-04-17,Standard,APAC,0
sub_00432,2024-01-04,Standard,Europe,1
sub_00433,2023-11-03,Premium,APAC,1
sub_00434,2025-03-15,Premium,North America,1
sub_00435,2024-08-10,Standard,Europe,0
sub_00436,2025-03-20,Basic,North America,0
sub_00437,2024-05-06,Standard,North America,0
sub_00438,2023-08-22,Standard,APAC,0
sub_00439,2025-04-20,Basic,Europe,0
sub_00440,2024-09-05,Basic,North America,0
sub_00441,2023-07-21,Basic,APAC,0
sub_00442,2024-11-13,Standard,North America,1
sub_00443,2025-03-14,Standard,Europe,0
sub_00444,2024-07-02,Basic,Latin America,0
sub_00445,2024-06-18,Premium,Europe,0
sub_00446,2024-02-28,Premium,APAC,1
sub_00447,2024-11-04,Basic,Europe,0
sub_00448,2023-08-02,Premium,APAC,0
sub_00449,2024-06-08,Basic,Europe,1
sub_00450,2024-11-23,Premium,Europe,1
sub_00451,2023-07-30,Premium,North America,0
sub_00452,2023-08-24,Basic,APAC,1
sub_00453,2024-06-24,Premium,North America,1
sub_00454,2025-05-30,Premium,Latin America,1
sub_00455,2024-04-15,Premium,North America,1
sub_00456,2024-05-15,Premium,North America,1
sub_00457,2025-03-02,Standard,APAC,0
sub_00458,2024-03-20,Basic,North America,0
sub_00459,2023-10-23,Premium,North America,0
sub_00460,2025-04-02,Standard,APAC,0
sub_00461,2024-01-16,Standard,North America,0
sub_00462,2025-03-08,Standard,North America,1
sub_00463,2023-12-28,Standard,Europe,1
sub_00464,2024-08-20,Basic,North America,0
sub_00465,2025-06-12,Standard,North America,0
sub_00466,2023-07-26,Basic,North America,0
sub_00467,2025-02-18,Standard,North America,1
sub_00468,2024-04-16,Premium,North America,1
sub_00469,2025-02-07,Standard,North America,1
sub_00470,2023-08-18,Standard,Europe,1
sub_00471,2024-01-05,Basic,Europe,0
sub_00472,2023-11-19,Premium,North America,0
sub_00473,2024-08-11,Standard,North America,1
sub_00474,2024-07-17,Basic,APAC,0
sub_00475,2024-03-19,Basic,Europe,1
sub_00476,2023-12-03,Basic,North America,0
sub_00477,2023-10-19,Standard,Europe,0
sub_00478,2025-06-04,Premium,North America,1
sub_00479,2024-02-27,Standard,APAC,1
sub_00480,2025-03-30,Basic,Latin America,1
sub_00481,2024-11-22,Premium,Latin America,1
sub_00482,2023-11-01,Basic,North America,1
sub_00483,2024-12-19,Premium,North America,0
sub_00484,2023-11-24,Basic,North America,1
sub_00485,2024-07-20,Standard,North America,0
sub_00486,2025-01-01,Premium,North America,1
sub_00487,2024-10-20,Basic,Europe,1
sub_00488,2024-06-01,Standard,North America,0
sub_00489,2023-12-17,Premium,Latin America,1
sub_00490,2024-04-09,Basic,North America,0
sub_00491,2023-08-18,Basic,North America,0
sub_00492,2023-10-04,Standard,APAC,0
sub_00493,2023-12-25,Basic,APAC,1
sub_00494,2024-04-11,Basic,North America,1
sub_00495,2024-11-21,Standard,Europe,1
sub_00496,2024-08-25,Premium,North America,0
sub_00497,2025-03-23,Basic,North America,1
sub_00498,2024-09-22,Basic,Europe,0
sub_00499,2023-08-23,Premium,North America,1
sub_00500,2024-08-16,Standard,Europe,0
sub_00501,2025-03-27,Premium,North America,0
sub_00502,2024-03-07,Standard,Europe,1
sub_00503,2023-07-28,Premium,APAC,0
sub_00504,2023-10-04,Standard,North America,1
sub_00505,2024-12-02,Basic,North America,0
sub_00506,2024-07-27,Premium,Europe,1
sub_00507,2024-06-01,Standard,APAC,0
sub_00508,2024-12-21,Basic,Europe,1
sub_00509,2024-12-06,Basic,APAC,1
sub_00510,2024-12-29,Standard,North America,1
sub_00511,2023-07-05,Basic,North America,0
sub_00512,2023-12-30,Basic,Europe,1
sub_00513,2023-10-23,Basic,North America,0
sub_00514,2023-11-10,Standard,APAC,0
sub_00515,2023-07-31,Standard,North America,0
sub_00516,2025-04-02,Standard,North America,0
sub_00517,2023-09-24,Basic,Europe,1
sub_00518,2025-04-30,Basic,Europe,1
sub_00519,2024-07-11,Standard,Europe,1
sub_00520,2024-04-17,Basic,Europe,1
sub_00521,2024-10-03,Standard,Latin America,1
sub_00522,2025-03-04,Basic,APAC,0
sub_00523,2025-01-30,Basic,APAC,0
sub_00524,2023-11-04,Basic,Europe,0
sub_00525,2024-10-31,Standard,Europe,0
sub_00526,2024-11-06,Basic,Europe,1
sub_00527,2023-08-25,Premium,Europe,0
sub_00528,2025-03-05,Basic,North America,0
sub_00529,2023-08-31,Standard,Europe,1
sub_00530,2023-08-27,Standard,North America,0
sub_00531,2024-04-14,Basic,North America,0
sub_00532,2025-02-18,Standard,APAC,0
sub_00533,2025-02-25,Basic,North America,1
sub_00534,2024-11-25,Standard,Europe,1
sub_00535,2024-04-29,Basic,Europe,0
sub_00536,2025-02-27,Premium,North America,1
sub_00537,2024-07-25,Premium,APAC,1
sub_00538,2025-03-26,Basic,North America,0
sub_00539,2024-05-26,Standard,APAC,0
sub_00540,2025-06-01,Premium,APAC,0
sub_00541,2024-01-26,Basic,North America,0
sub_00542,2025-05-08,Premium,North America,1
sub_00543,2025-01-28,Standard,North America,1
sub_00544,2025-02-11,Premium,North America,0
sub_00545,2023-10-31,Premium,North America,0
sub_00546,2025-05-09,Basic,Latin America,0
sub_00547,2024-08-13,Standard,North America,0
sub_00548,2024-04-19,Standard,APAC,0
sub_00549,2024-06-12,Basic,North America,0
sub_00550,2024-02-15,Basic,Latin America,1
sub_00551,2023-11-19,Premium,North America,1
sub_00552,2024-09-08,Basic,Europe,0
sub_00553,2023-11-01,Standard,Europe,0
sub_00554,2024-11-01,Premium,North America,1
sub_00555,2023-07-13,Basic,APAC,0
sub_00556,2024-06-20,Standard,North America,1
sub_00557,2024-01-07,Premium,Europe,1
sub_00558,2023-09-29,Standard,Europe,1
sub_00559,2023-11-27,Basic,Europe,0
sub_00560,2023-10-16,Basic,North America,1
sub_00561,2024-05-28,Premium,North America,0
sub_00562,2025-05-16,Basic,North America,1
sub_00563,2024-06-28,Standard,North America,0
sub_00564,2025-02-07,Basic,North America,1
sub_00565,2023-09-19,Standard,Latin America,1
sub_00566,2024-12-29,Premium,Europe,0
sub_00567,2025-01-04,Standard,Europe,0
sub_00568,2024-12-20,Premium,North America,0
sub_00569,2024-03-13,Basic,North America,0
sub_00570,2024-05-03,Standard,Europe,0
sub_00571,2023-08-07,Premium,North America,1
sub_00572,2024-08-22,Standard,North America,0
sub_00573,2024-11-26,Basic,Europe,0
sub_00574,2025-05-12,Premium,Europe,0
sub_00575,2025-06-11,Basic,Latin America,0
sub_00576,2024-09-22,Standard,North America,1
sub_00577,2023-08-24,Premium,Europe,0
sub_00578,2024-06-06,Basic,North America,1
sub_00579,2023-09-16,Basic,North America,1
sub_00580,2025-04-05,Basic,APAC,0
sub_00581,2025-04-11,Basic,North America,1
sub_00582,2023-10-29,Basic,Europe,0
sub_00583,2025-04-01,Standard,North America,0
sub_00584,2025-05-10,Basic,North America,0
sub_00585,2024-08-31,Standard,Latin America,1
sub_00586,2023-08-24,Basic,North America,1
sub_00587,2024-02-09,Basic,APAC,0
sub_00588,2025-04-07,Basic,North America,1
sub_00589,2023-10-26,Standard,Latin America,0
sub_00590,2023-10-22,Standard,North America,0
sub_00591,2023-11-21,Basic,North America,1
sub_00592,2023-09-09,Premium,APAC,1
sub_00593,2024-12-27,Standard,North America,1
sub_00594,2023-07-16,Basic,North America,1
sub_00595,2024-10-30,Premium,Latin America,1
sub_00596,2023-11-20,Basic,Europe,0
sub_00597,2024-04-28,Basic,Europe,0
sub_00598,2023-12-06,Standard,Europe,1
sub_00599,2024-03-24,Basic,APAC,0
sub_00600,2024-03-13,Basic,APAC,0
sub_00601,2024-04-01,Standard,Europe,1
sub_00602,2023-12-07,Basic,North America,0
sub_00603,2024-01-04,Premium,North America,0
sub_00604,2025-03-12,Premium,Europe,1
sub_00605,2023-11-03,Standard,APAC,0
sub_00606,2024-05-29,Standard,Europe,1
sub_00607,2024-10-28,Standard,North America,0
sub_00608,2024-06-13,Premium,North America,0
sub_00609,2023-07-25,Basic,Europe,0
sub_00610,2023-10-11,Basic,APAC,0
sub_00611,2023-10-29,Standard,North America,0
sub_00612,2024-07-20,Standard,Europe,1
sub_00613,2023-12-03,Basic,APAC,0
sub_00614,2024-09-14,Standard,Latin America,0
sub_00615,2024-02-11,Basic,North America,0
sub_00616,2024-03-16,Premium,Latin America,1
